ano,sexo,n
2022,Feminino,3161
2022,Ignorado,2
2022,Ignorado/Branco,1
2022,Masculino,2962
2023,Feminino,3136
2023,Ignorado,1
2023,Masculino,2741
2024,Feminino,11505
2024,Ignorado,19
2024,Ignorado/Branco,1
2024,Masculino,9544
2025,Feminino,8926
2025,Ignorado,19
2025,Masculino,7998
2026,Feminino,3954
2026,Ignorado,2
2026,Masculino,3580
