ano,faixa_etaria,n
2022,<1,119
2022,1-9,803
2022,10-19,1305
2022,20-39,2281
2022,40-59,1237
2022,60+,380
2022,Ignorado/Branco,1
2023,<1,115
2023,1-9,668
2023,10-19,1302
2023,20-39,2181
2023,40-59,1238
2023,60+,374
2024,<1,299
2024,1-9,1875
2024,10-19,4361
2024,20-39,8112
2024,40-59,4798
2024,60+,1623
2024,Ignorado/Branco,1
2025,<1,299
2025,1-9,2060
2025,10-19,3633
2025,20-39,6249
2025,40-59,3518
2025,60+,1184
2026,<1,119
2026,1-9,755
2026,10-19,1495
2026,20-39,2976
2026,40-59,1596
2026,60+,595
