ano,hospitalizado,n
2022,Ignorado,58
2022,Ignorado/Branco,1522
2022,Nao,4149
2022,Sim,397
2023,Ignorado,48
2023,Ignorado/Branco,1680
2023,Nao,3844
2023,Sim,306
2024,Ignorado,358
2024,Ignorado/Branco,5657
2024,Nao,13786
2024,Sim,1268
2025,Ignorado,314
2025,Ignorado/Branco,3053
2025,Nao,11936
2025,Sim,1640
2026,Ignorado,65
2026,Ignorado/Branco,1954
2026,Nao,4706
2026,Sim,811
